time;SamplingFrequency;ECG
0.486;1000;504
0.487;1000;505
0.488;1000;505
0.489;1000;503
0.49;1000;502
0.491;1000;504
0.492;1000;508
0.493;1000;509
0.494;1000;510
0.495;1000;509
0.496;1000;509
0.497;1000;510
0.498;1000;511
0.499;1000;511
0.5;1000;510
0.501;1000;511
0.502;1000;510
0.503;1000;509
0.504;1000;509
0.505;1000;509
0.506;1000;508
0.507;1000;506
0.508;1000;504
0.509;1000;504
0.51;1000;504
0.511;1000;507
0.512;1000;509
0.513;1000;510
0.514;1000;511
0.515;1000;511
0.516;1000;512
0.517;1000;513
0.518;1000;514
0.519;1000;514
0.52;1000;512
0.521;1000;512
0.522;1000;512
0.523;1000;510
0.524;1000;511
0.525;1000;511
0.526;1000;508
0.527;1000;505
0.528;1000;504
0.529;1000;507
0.53;1000;509
0.531;1000;512
0.532;1000;515
0.533;1000;516
0.534;1000;516
0.535;1000;518
0.536;1000;519
0.537;1000;519
0.538;1000;518
0.539;1000;519
0.54;1000;518
0.541;1000;517
0.542;1000;517
0.543;1000;518
0.544;1000;520
0.545;1000;523
0.546;1000;524
0.547;1000;522
0.548;1000;523
0.549;1000;524
0.55;1000;524
0.551;1000;524
0.552;1000;521
0.553;1000;519
0.554;1000;518
0.555;1000;520
0.556;1000;524
0.557;1000;529
0.558;1000;531
0.559;1000;531
0.56;1000;531
0.561;1000;529
0.562;1000;528
0.563;1000;528
0.564;1000;528
0.565;1000;529
0.566;1000;529
0.567;1000;529
0.568;1000;529
0.569;1000;529
0.57;1000;530
0.571;1000;533
0.572;1000;534
0.573;1000;532
0.574;1000;532
0.575;1000;531
0.576;1000;534
0.577;1000;536
0.578;1000;536
0.579;1000;536
0.58;1000;540
0.581;1000;542
0.582;1000;544
0.583;1000;544
0.584;1000;545
0.585;1000;545
0.586;1000;543
0.587;1000;542
0.588;1000;541
0.589;1000;543
0.59;1000;544
0.591;1000;545
0.592;1000;546
0.593;1000;547
0.594;1000;548
0.595;1000;550
0.596;1000;550
0.597;1000;551
0.598;1000;550
0.599;1000;547
0.6;1000;545
0.601;1000;544
0.602;1000;544
0.603;1000;545
0.604;1000;548
0.605;1000;554
0.606;1000;557
0.607;1000;555
0.608;1000;553
0.609;1000;552
0.61;1000;554
0.611;1000;557
0.612;1000;556
0.613;1000;553
0.614;1000;551
0.615;1000;550
0.616;1000;548
0.617;1000;547
0.618;1000;548
0.619;1000;548
0.62;1000;547
0.621;1000;545
0.622;1000;547
0.623;1000;549
0.624;1000;550
0.625;1000;549
0.626;1000;548
0.627;1000;547
0.628;1000;544
0.629;1000;542
0.63;1000;540
0.631;1000;540
0.632;1000;540
0.633;1000;537
0.634;1000;536
0.635;1000;536
0.636;1000;535
0.637;1000;534
0.638;1000;533
0.639;1000;531
0.64;1000;528
0.641;1000;526
0.642;1000;523
0.643;1000;520
0.644;1000;516
0.645;1000;514
0.646;1000;509
0.647;1000;506
0.648;1000;503
0.649;1000;501
0.65;1000;497
0.651;1000;497
0.652;1000;498
0.653;1000;497
0.654;1000;496
0.655;1000;495
0.656;1000;492
0.657;1000;491
0.658;1000;493
0.659;1000;494
0.66;1000;493
0.661;1000;490
0.662;1000;488
0.663;1000;485
0.664;1000;481
0.665;1000;476
0.666;1000;472
0.667;1000;471
0.668;1000;470
0.669;1000;469
0.67;1000;467
0.671;1000;465
0.672;1000;465
0.673;1000;464
0.674;1000;463
0.675;1000;464
0.676;1000;466
0.677;1000;468
0.678;1000;470
0.679;1000;470
0.68;1000;468
0.681;1000;467
0.682;1000;466
0.683;1000;463
0.684;1000;460
0.685;1000;460
0.686;1000;460
0.687;1000;461
0.688;1000;462
0.689;1000;462
0.69;1000;461
0.691;1000;461
0.692;1000;460
0.693;1000;461
0.694;1000;462
0.695;1000;463
0.696;1000;463
0.697;1000;462
0.698;1000;462
0.699;1000;462
0.7;1000;461
0.701;1000;459
0.702;1000;457
0.703;1000;459
0.704;1000;459
0.705;1000;459
